epoch,step,train_loss,val_acc,val_f1,val_loss,val_prec,val_rec
0,49,0.21786203980445862,,,,,
0,58,,0.8895887136459351,0.8547758460044861,0.20448750257492065,0.8709036707878113,0.839234471321106
1,99,0.10077354311943054,,,,,
1,117,,0.9585031270980835,0.9462571740150452,0.20448338985443115,0.9489893913269043,0.9435406923294067
2,149,0.017420459538698196,,,,,
2,176,,0.976658046245575,0.9696969985961914,0.17805178463459015,0.9748549461364746,0.9645932912826538
3,199,0.007671380415558815,,,,,
3,235,,0.9777695536613464,0.9709864854812622,0.18968646228313446,0.9814271926879883,0.960765540599823
4,249,0.004947111941874027,,,,,
4,294,,0.9803630709648132,0.9746289849281311,0.2015169858932495,0.975095808506012,0.9741626977920532
5,299,0.018101871013641357,,,,,
5,349,0.0012558834860101342,,,,,
5,353,,0.9796220660209656,0.9733656048774719,0.20394112169742584,0.9852941036224365,0.9617224931716919
6,399,0.002659677527844906,,,,,
6,412,,0.9733234643936157,0.9656816124916077,0.24974144995212555,0.962013304233551,0.9693779945373535
7,449,0.0009020128636620939,,,,,
7,471,,0.9777695536613464,0.9708171486854553,0.22572894394397736,0.9871414303779602,0.9550239443778992
8,499,0.05965212732553482,,,,,
8,530,,0.9718413949012756,0.9634263515472412,0.29915961623191833,0.969022274017334,0.9578947424888611
9,549,0.09344691783189774,,,,,
9,589,,0.9762874841690063,0.9690521955490112,0.22061310708522797,0.9794721603393555,0.95885169506073
