epoch,step,train_acc,train_f1,train_loss,train_prec,train_rec,val_acc,val_f1,val_loss,val_prec,val_rec
0,29,,,,,,0.6120689511299133,0.0,2333.646484375,0.0,0.0
1,49,0.703125,0.4571428596973419,0.47658979892730713,0.7272727489471436,0.3333333432674408,,,,,
1,59,,,,,,0.6798029541969299,0.2633727192878723,0.5861141085624695,0.4365634322166443,0.22662624716758728
2,89,,,,,,0.6157635450363159,0.312961608171463,1.1040196418762207,0.40189889073371887,0.29545915126800537
3,99,0.671875,0.5531914830207825,0.6406102180480957,0.7222222089767456,0.4482758641242981,,,,,
3,119,,,,,,0.6539409160614014,0.16370825469493866,8.234673500061035,0.4279146194458008,0.10809650272130966
4,149,0.6774193644523621,0.5454545617103577,0.47163790464401245,0.4615384638309479,0.6666666865348816,,,,,
4,149,,,,,,0.6687192320823669,0.1906787008047104,2.580277442932129,0.41871920228004456,0.1259946972131729
5,179,,,,,,0.7253694534301758,0.31016454100608826,0.6113580465316772,0.43390953540802,0.2619237005710602
6,199,0.75,0.6800000071525574,0.47724980115890503,0.6538461446762085,0.7083333134651184,,,,,
6,209,,,,,,0.7290640473365784,0.38876456022262573,0.5551769137382507,0.4241798222064972,0.39575597643852234
7,239,,,,,,0.7044335007667542,0.24221007525920868,1.0149567127227783,0.45353037118911743,0.1732790321111679
8,249,0.765625,0.7272727489471436,0.43567901849746704,0.6666666865348816,0.800000011920929,,,,,
8,269,,,,,,0.7278324961662292,0.38446667790412903,0.5166168808937073,0.42026740312576294,0.39307188987731934
9,299,0.774193525314331,0.695652186870575,0.3982868194580078,0.7272727489471436,0.6666666865348816,,,,,
9,299,,,,,,0.639162540435791,0.4031655788421631,0.6862355470657349,0.4047558009624481,0.45420610904693604
